"Qty";"Value";"Device";"Package";"Parts";"Description";"JLC";"JLCPCB";"PARTNO";"POPULARITY";"SPICEPREFIX";"VALUE";
"1";"5.1k";"0402_RESISTOR";"R0402";"R51";"0402 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE";"";"";"";"";"";"";
"2";"5010";"5010";"5010";"TP4, TP5";"Red PC Test Point, Multipurpose Phosphor Bronze, Silver Plating 0.063" (1.60mm) Hole Diameter Mounting Type";"";"";"36-5010-ND";"";"";"";
"3";"5011";"5011";"5010";"TP1, TP2, TP3";"Black PC Test Point, Multipurpose Phosphor Bronze, Silver Plating 0.063" (1.60mm) Hole Diameter Mounting Type";"";"";"36-5011-ND";"";"";"";
"1";"5151069F";"5151069F";"5151069F";"LP1";"Light Pipe 3 Wide Clear Rigid Board Mount, Press Fit, Right Angle";"";"";"350-2182-ND";"";"";"";
"1";"51k";"0603_RESISTOR";"0603";"R69";"0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE";"";"";"";"";"";"sel";
"1";"68k";"0603_RESISTOR";"0603";"R67";"0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE";"";"";"";"";"";"sel";
"1";"824501401";"824501401";"DO-214AC";"CR4";"64.5V Clamp 6.1A Ipp Tvs Diode Surface Mount DO-214AC";"";"";"732-9960-1-ND";"";"";"";
"1";"A-2004-2-4-LPS-N-R";"A-2004-2-4-LPS-N-R";"A-2004-2-4-LPS-N-R";"J2";"Jack Modular Connector 8p8c (RJ45, Ethernet) 90° Angle (Right) Shielded";"";"";"AE10387-ND";"";"";"";
"1";"ALT4532M-201-T001";"ALT4532M-201-T001";"TDK_ALT";"T1";"200µH LAN Pulse Transformer 1CT:1CT Surface Mount";"";"";"445-15085-1-ND";"";"";"";
"1";"CO32H4-25.000-33GDTST";"CO32H4-25.000-33GDTST";"3.2X2.5_4SMD";"U3";"3.3V~3.3V ±50ppm 25MHz HCMOS SMD3225-4P Oscillators ROHS 4-SMD, No Lead";"";"";"";"";"";"";
"5";"DNP";"0402_RESISTOR";"R0402";"R29, R30, R41, R58, R59";"0402 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE";"";"";"";"";"";"";
"1";"DNP";"0603_RESISTOR";"0603";"R71";"0603 Resistor -- WARNING: NO DEFINED PART NUMBER OR VALUE";"";"";"";"";"";"sel";
"1";"DP83822IRHBR";"DP83822IRHBR";"QFN32-55_TI";"U2";"10/100 Ethernet PHY RGMII/RMII/MII";"";"";"296-44794-1-ND";"";"";"";
"1";"DP83TD510ERHBR";"DP83TD510ERHBR";"QFN32-55_TI";"U1";"1/1 Transceiver 10BASE-T1L IEEE 802.3 32-VQFN (5x5)";"";"";"296-DP83TD510ERHBRCT-ND";"";"";"";
"1";"H1102NLT";"H1102NLT";"H1102NLT";"T4";"";"";"";"";"";"";"";
"1";"KF141R-2.54-2P";"KF141R-2.54-2P";"KF141R-2.54-2P";"J4";"1 2.54mm 20~26 2A Through Hole 150V 2 Push-Pull,P=2.54mm  Spring Clamp System Terminal Block ROHS";"C475124";"";"";"";"";"";
"1";"KF141R-2.54-3P";"KF141R-2.54-3P";"KF141R-2.54-3P";"J3";"1 2.54mm 20~26 2A Through Hole 150V 3 Push-Pull,P=2.54mm Spring Clamp System Terminal Block ROHS";"";"";"";"";"";"";
"1";"LMR38020SDDAR";"LMR38020SDDAR";"SOIC8_TP_TI";"U4";"Buck Switching Regulator IC Positive Adjustable 1V 1 Output 2A 8-PowerSOIC (0.154", 3.90mm Width)";"";"";"296-LMR38020SDDARCT-ND";"";"";"";
"3";"RED";"150060RS75000";"0603_DIODE";"CR1, CR2, CR3";"Red 625nm LED Indication - Discrete 2V 0603 (1608 Metric)";"";"";"732-4978-1-ND";"";"";"RED";
"6";"SM4007PL";"SM4007PL";"SOD123(AK)";"D3, D4, D5, D6, D7, D8";"1A 1kV 1.1V@1A SOD-123FL Diodes - General Purpose ROHS";"";"";"";"";"";"";
"2";"SN74LVC1G17DCKR";"SN74LVC1G17DCKR";"SC-70";"U5, U6";"Buffer, Non-Inverting 1 Element 1 Bit per Element Push-Pull Output SC-70-5";"";"C10425";"296-11934-1-ND";"";"";"";
"3";"SP3003-02JTG";"SP3003-02JTG";"SC-70-5";"D1, D2, D10";"15V Clamp 2.5A (8/20µs) Ipp Tvs Diode Surface Mount SC-70-5 JLCPCB: C151302";"";"";"F3301CT-ND";"";"";"";
